,domain,dt_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
79,ivnet.ru,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
80,xoom.it,20180325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,000webhostapp.com,20180328,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0
82,000webhostapp.com,20180327,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,3,0,0,0,0,0,0,0
83,000webhostapp.com,20180325,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0
84,000webhostapp.com,20180326,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
85,000webhostapp.com,20180324,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,2,0,6,5,0,0
86,000webhostapp.com,20180323,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,0,0,0,1,4,0,2,0,0
87,000webhostapp.com,20180322,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,2,0,0,1
88,home.pl,20180328,2,6,4,7,0,0,2,9,26,36,16,6,16,19,7,5,7,10,14,9,1,5,5,9
89,home.pl,20180329,10,11,12,14,14,19,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,home.pl,20180327,4,6,10,4,7,4,12,4,6,6,8,4,6,2,5,2,0,2,1,3,2,0,0,0
91,home.pl,20180326,9,4,12,6,11,4,3,8,5,6,4,3,8,8,8,2,1,0,0,0,0,0,0,0
92,home.pl,20180325,13,11,15,13,8,11,11,10,16,10,12,13,10,16,11,3,0,2,7,6,8,7,0,3
93,home.pl,20180323,12,15,8,5,5,8,6,11,9,8,8,7,5,6,6,10,6,11,14,10,0,1,2,1
94,home.pl,20180324,1,6,2,5,8,4,13,6,2,6,4,2,12,17,11,3,4,5,5,3,2,5,5,3
95,home.pl,20180322,0,0,0,0,0,0,0,0,14,8,11,5,10,6,10,12,10,10,11,5,10,8,3,5
96,u.to,20180328,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3
97,u.to,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,u.to,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
99,u.to,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
100,u.to,20180324,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,tripod.com,20180328,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
102,tripod.com,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,1,0
103,tripod.com,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
104,tripod.com,20180325,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
105,tripod.com,20180323,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0
106,tripod.com,20180322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,esy.es,20180323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
108,asis.io,20180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
109,asis.io,20180327,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,4,0,2,1,0
110,asis.io,20180326,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,asis.io,20180324,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,1,0,0,0,0,0,1,0,0
112,asis.io,20180323,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
113,asis.io,20180322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
114,chickenkiller.com,20180328,0,2,0,0,0,0,0,0,0,3,2,2,0,0,0,0,5,0,1,0,2,3,0,2
115,chickenkiller.com,20180327,2,3,0,3,3,0,3,3,3,7,3,3,4,0,0,3,3,5,3,1,2,2,0,0
116,chickenkiller.com,20180326,2,0,0,0,0,0,0,0,0,0,5,0,2,6,3,3,0,2,4,1,5,5,3,2
117,chickenkiller.com,20180325,0,0,0,3,2,1,2,1,5,4,6,2,6,3,2,4,4,3,4,1,3,3,1,5
118,chickenkiller.com,20180324,0,0,0,0,0,0,0,0,0,3,0,5,3,6,1,3,3,0,2,3,3,0,1,4
119,chickenkiller.com,20180323,0,0,0,0,0,0,0,3,6,5,6,4,4,0,0,0,0,0,3,3,0,3,5,0
120,chickenkiller.com,20180322,0,0,0,0,0,0,0,0,4,3,0,3,1,0,6,0,0,3,3,0,2,2,0,0
121,oocities.org,20180329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,oocities.org,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2
123,oocities.org,20180326,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,oocities.org,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
125,oocities.org,20180323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
126,oocities.org,20180322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
127,rebrand.ly,20180328,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0
128,rebrand.ly,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,rebrand.ly,20180326,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
130,rebrand.ly,20180325,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,rebrand.ly,20180323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
132,chez.com,20180326,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
133,atw.hu,20180328,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
134,atw.hu,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
135,urlz.fr,20180324,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
136,sytes.net,20180328,16,9,1,0,0,0,0,2,0,0,0,0,1,8,16,0,0,0,0,7,34,23,2,13
137,sytes.net,20180329,36,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,sytes.net,20180327,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,27
139,sytes.net,20180326,9,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,22,28,16,11,17,17,2,0
140,sytes.net,20180325,12,39,0,0,0,0,0,0,5,15,13,0,10,0,0,10,0,0,0,8,4,5,9,8
